Symbol,Company,Country,GICS,Sector,Price
MMM            ,3M Company,US                ,20        ,Industrials,      68.68
ABT            ,Abbott Labs,US                ,35        ,Health Care,      57.90
ANF            ,Abercrombie & Fitch Co.,US                ,25        ,Consumer Discretionary,      49.72
ADBE           ,Adobe Systems,US                ,45        ,Information Technology,      40.73
AMD            ,Advanced Micro Devices,US                ,45        ,Information Technology,       5.78
AES            ,AES Corp.,US                ,55        ,Utilities,      13.86
AET            ,Aetna Inc.,US                ,35        ,Health Care,      41.92
ACS            ,Affiliated Computer,US                ,45        ,Information Technology,      52.16
AFL            ,AFLAC Inc.,US                ,40        ,Financials,      57.00
A              ,Agilent Technologies,US                ,45        ,Information Technology,      31.89
APD            ,Air Products & Chemicals,US                ,15        ,Materials,      85.16
AKS            ,AK Steel Holding Corp.,US                ,15        ,Materials,      35.23
AKAM           ,Akamai Technologies Inc,US                ,45        ,Information Technology,      18.31
AA             ,Alcoa Inc,US                ,15        ,Materials,      27.19
AYE            ,Allegheny Energy,US                ,55        ,Utilities,      40.97
ATI            ,Allegheny Technologies Inc,US                ,15        ,Materials,      40.79
AGN            ,Allergan  Inc.,US                ,35        ,Health Care,      54.58
AW             ,Allied Waste Industries,US                ,20        ,Industrials,      13.14
ALL            ,Allstate Corp.,US                ,40        ,Financials,      45.51
ALTR           ,Altera Corp.,US                ,45        ,Information Technology,      20.29
MO             ,Altria Group  Inc.,US                ,30        ,Consumer Staples,      20.76
AMZN           ,Amazon Corp.,US                ,25        ,Consumer Discretionary,      76.74
AEE            ,Ameren Corporation,US                ,55        ,Utilities,      39.45
ACAS           ,American Capital  Ltd.,US                ,40        ,Financials,      21.62
AEP            ,American Electric Power,US                ,55        ,Utilities,      38.60
AXP            ,American Express,US                ,40        ,Financials,      38.16
AIG            ,American Int'l. Group,US                ,40        ,Financials,      17.50
AMT            ,American Tower Corp.,US                ,50        ,Telecommunications Services,      38.32
AMP            ,Ameriprise Financial  Inc.,US                ,40        ,Financials,      42.44
ABC            ,AmerisourceBergen Corp.,US                ,35        ,Health Care,      40.67
AMGN           ,Amgen,US                ,35        ,Health Care,      62.10
APC            ,Anadarko Petroleum,US                ,10        ,Energy,      54.83
ADI            ,Analog Devices,US                ,45        ,Information Technology,      26.40
BUD            ,Anheuser-Busch,US                ,30        ,Consumer Staples,      68.14
AOC            ,Aon Corp.,US                ,40        ,Financials,      46.14
APA            ,Apache Corp.,US                ,10        ,Energy,     105.36
AIV            ,Apartment Investment & Mgmt'A',US                ,40        ,Financials,      35.15
APOL           ,Apollo Group,US                ,25        ,Consumer Discretionary,      64.70
AAPL           ,Apple Inc.,US                ,45        ,Information Technology,     151.61
ABI            ,Applied Biosystems Inc.,US                ,35        ,Health Care,      35.98
AMAT           ,Applied Materials,US                ,45        ,Information Technology,      16.37
ADM            ,Archer-Daniels-Midland,US                ,30        ,Consumer Staples,      22.10
ASH            ,Ashland Inc.,US                ,15        ,Materials,      38.35
AIZ            ,Assurant Inc,US                ,40        ,Financials,      57.21
T              ,AT&T Inc.,US                ,50        ,Telecommunications Services,      31.55
ADSK           ,Autodesk  Inc.,US                ,45        ,Information Technology,      33.46
ADP            ,Automatic Data Processing Inc.,US                ,45        ,Information Technology,      44.59
AN             ,AutoNation  Inc.,US                ,25        ,Consumer Discretionary,      12.62
AZO            ,AutoZone Inc.,US                ,25        ,Consumer Discretionary,     137.00
AVB            ,AvalonBay Communities,US                ,40        ,Financials,     100.15
AVY            ,Avery Dennison Corp.,US                ,20        ,Industrials,      44.91
AVP            ,Avon Products,US                ,30        ,Consumer Staples,      43.47
BHI            ,Baker Hughes,US                ,10        ,Energy,      64.71
BLL            ,Ball Corp.,US                ,15        ,Materials,      42.92
BAC            ,Bank of America Corp.,US                ,40        ,Financials,      32.40
BK             ,Bank of New York Mellon Corp. (New),US                ,40        ,Financials,      38.50
BCR            ,Bard (C.R.) Inc.,US                ,35        ,Health Care,      95.31
BRL            ,Barr Pharmaceuticals  Inc.,US                ,35        ,Health Care,      66.68
BAX            ,Baxter International Inc.,US                ,35        ,Health Care,      69.02
BBT            ,BB&T Corporation,US                ,40        ,Financials,      31.43
BDX            ,Becton  Dickinson,US                ,35        ,Health Care,      84.11
BBBY           ,Bed Bath & Beyond,US                ,25        ,Consumer Discretionary,      31.79
BMS            ,Bemis Company,US                ,15        ,Materials,      27.80
BBY            ,Best Buy Co.  Inc.,US                ,25        ,Consumer Discretionary,      45.21
BIG            ,Big Lots  Inc.,US                ,25        ,Consumer Discretionary,      32.56
BIIB           ,BIOGEN IDEC Inc.,US                ,35        ,Health Care,      47.30
BJS            ,BJ Services,US                ,10        ,Energy,      21.14
BDK            ,Black & Decker Corp.,US                ,25        ,Consumer Discretionary,      65.74
HRB            ,Block H&R,US                ,25        ,Consumer Discretionary,      23.61
BMC            ,BMC Software,US                ,45        ,Information Technology,      31.59
BA             ,Boeing Company,US                ,20        ,Industrials,      61.71
BXP            ,Boston Properties,US                ,40        ,Financials,     102.63
BSX            ,Boston Scientific,US                ,35        ,Health Care,      12.65
BMY            ,Bristol-Myers Squibb,US                ,35        ,Health Care,      21.67
BRCM           ,Broadcom Corporation,US                ,45        ,Information Technology,      22.02
BF.B           ,Brown-Forman Corp.,US                ,30        ,Consumer Staples,      72.19
BNI            ,Burlington Northern Santa Fe C,US                ,20        ,Industrials,      99.44
CHRW           ,C.H. Robinson Worldwide,US                ,20        ,Industrials,      52.98
CA             ,CA  Inc.,US                ,45        ,Information Technology,      21.73
COG            ,Cabot Oil & Gas,US                ,10        ,Energy,      36.70
CAM            ,Cameron International Corp.,US                ,10        ,Energy,      40.13
CPB            ,Campbell Soup,US                ,30        ,Consumer Staples,      37.58
COF            ,Capital One Financial,US                ,40        ,Financials,      45.58
CAH            ,Cardinal Health  Inc.,US                ,35        ,Health Care,      52.53
CCL            ,Carnival Corp.,US                ,25        ,Consumer Discretionary,      39.60
CAT            ,Caterpillar Inc.,US                ,20        ,Industrials,      62.82
CBG            ,CB Richard Ellis Group,US                ,40        ,Financials,      13.51
CBS            ,CBS Corp.,US                ,25        ,Consumer Discretionary,      16.87
CELG           ,Celgene Corp.,US                ,35        ,Health Care,      68.05
CNP            ,CenterPoint Energy,US                ,55        ,Utilities,      15.63
CTX            ,Centex Corp.,US                ,25        ,Consumer Discretionary,      17.19
