History prices for ^GSPC
tradedate, open, high, low, close, volume
08/13/2007,1453.42,1466.29,1451.54,1452.92,3696280000.0
08/14/2007,1452.87,1456.74,1426.2,1426.54,3814630000.0
08/15/2007,1426.15,1440.78,1404.36,1406.7,4290930000.0
08/16/2007,1406.64,1415.97,1370.6,1411.27,6509300000.0
08/17/2007,1411.26,1450.33,1411.26,1445.94,3570040000.0
08/20/2007,1445.94,1451.75,1430.54,1445.55,3321340000.0
08/21/2007,1445.55,1455.32,1439.76,1447.12,3012150000.0
08/22/2007,1447.03,1464.86,1447.03,1464.07,3309120000.0
08/23/2007,1464.05,1472.06,1453.88,1462.5,3084390000.0
08/24/2007,1462.34,1479.4,1460.54,1479.37,2541400000.0
08/27/2007,1479.36,1479.36,1465.98,1466.79,2406180000.0
08/28/2007,1466.72,1466.72,1432.01,1432.36,3078090000.0
08/29/2007,1432.01,1463.76,1432.01,1463.76,2824070000.0
08/30/2007,1463.67,1468.43,1451.25,1457.64,2582960000.0
08/31/2007,1457.61,1481.47,1457.61,1473.99,2731610000.0
09/04/2007,1473.96,1496.4,1472.15,1489.42,2766600000.0
09/05/2007,1488.76,1488.76,1466.34,1472.29,2991600000.0
09/06/2007,1472.03,1481.49,1467.41,1478.55,2459590000.0
09/07/2007,1478.55,1478.55,1449.07,1453.55,3191080000.0
09/10/2007,1453.5,1462.25,1439.29,1451.7,2835720000.0
09/11/2007,1451.69,1472.48,1451.69,1471.49,3015330000.0
09/12/2007,1471.1,1479.5,1465.75,1471.56,2885720000.0
09/13/2007,1471.47,1489.58,1471.47,1483.95,2877080000.0
09/14/2007,1483.95,1485.99,1473.18,1484.25,2641740000.0
09/17/2007,1484.24,1484.24,1471.82,1476.65,2598390000.0
09/18/2007,1476.63,1519.89,1476.63,1519.78,3708940000.0
09/19/2007,1519.75,1538.74,1519.75,1529.03,3846750000.0
09/20/2007,1528.69,1529.14,1516.42,1518.75,2957700000.0
09/21/2007,1518.75,1530.89,1518.75,1525.75,3679460000.0
09/24/2007,1525.75,1530.18,1516.15,1517.73,3131310000.0
09/25/2007,1516.34,1518.27,1507.13,1517.21,3187770000.0
09/26/2007,1518.62,1529.39,1518.62,1525.42,3237390000.0
09/27/2007,1527.32,1532.46,1525.81,1531.38,2872180000.0
09/28/2007,1531.24,1533.74,1521.99,1526.75,2925350000.0
10/01/2007,1527.29,1549.02,1527.25,1547.04,3281990000.0
10/02/2007,1546.96,1548.01,1540.37,1546.63,3101910000.0
10/03/2007,1545.8,1545.84,1536.34,1539.59,3065320000.0
10/04/2007,1539.91,1544.02,1537.63,1542.84,2690430000.0
10/05/2007,1543.84,1561.91,1543.84,1557.59,2919030000.0
10/08/2007,1556.51,1556.51,1549.0,1552.58,2040650000.0
10/09/2007,1553.18,1565.26,1551.82,1565.15,2932040000.0
10/10/2007,1564.98,1565.42,1555.46,1562.47,3044760000.0
10/11/2007,1564.72,1576.09,1546.72,1554.41,3911260000.0
10/12/2007,1555.41,1563.03,1554.09,1561.8,2788690000.0
10/15/2007,1562.25,1564.74,1540.81,1548.71,3139290000.0
10/16/2007,1547.81,1547.81,1536.29,1538.53,3234560000.0
10/17/2007,1544.44,1550.66,1526.01,1541.24,3638070000.0
10/18/2007,1539.29,1542.79,1531.76,1540.08,3203210000.0
10/19/2007,1540.0,1540.0,1500.26,1500.63,4160970000.0
10/22/2007,1497.79,1508.06,1490.4,1506.33,3471830000.0
10/23/2007,1509.3,1520.01,1503.61,1519.59,3309120000.0
10/24/2007,1516.61,1517.23,1489.56,1515.88,4003300000.0
10/25/2007,1516.15,1523.24,1500.46,1514.4,4183960000.0
10/26/2007,1522.17,1535.53,1520.18,1535.28,3612120000.0
10/29/2007,1536.92,1544.67,1536.43,1540.98,3124480000.0
10/30/2007,1539.42,1539.42,1529.55,1531.02,3212520000.0
