History prices for ^RUT
tradedate, open, high, low, close, volume
10/08/2007,844.02,845.29,836.94,840.14,0.0
10/09/2007,841.31,846.62,837.43,845.72,0.0
10/10/2007,845.06,845.65,838.96,845.19,0.0
10/11/2007,847.17,852.06,830.98,834.98,0.0
10/12/2007,834.9,843.78,834.9,841.17,0.0
10/15/2007,841.12,842.15,824.4,829.36,0.0
10/16/2007,827.74,828.53,822.71,823.35,0.0
10/17/2007,828.1,832.19,815.14,824.89,0.0
10/18/2007,824.74,826.78,817.81,825.03,0.0
10/19/2007,825.03,825.03,798.17,798.79,0.0
10/22/2007,794.81,812.14,788.66,810.08,0.0
10/23/2007,813.64,818.54,805.99,818.53,0.0
10/24/2007,814.37,814.51,795.6,810.85,0.0
10/25/2007,811.22,817.51,800.03,806.11,0.0
10/26/2007,811.31,821.43,808.76,821.39,0.0
10/29/2007,822.8,826.91,818.07,821.72,0.0
10/30/2007,820.0,821.86,814.02,816.15,0.0
10/31/2007,817.89,830.39,815.15,828.02,0.0
11/01/2007,822.88,822.88,794.0,795.18,0.0
11/02/2007,799.49,801.92,787.65,797.78,0.0
11/05/2007,797.77,797.77,784.07,790.44,0.0
11/06/2007,790.98,802.26,784.26,801.77,0.0
11/07/2007,796.0,796.0,775.37,775.96,0.0
11/08/2007,778.48,782.45,762.38,780.9,0.0
11/09/2007,779.42,779.5,765.06,772.38,0.0
11/12/2007,771.77,783.13,765.57,767.09,0.0
11/13/2007,770.78,789.76,770.78,789.15,0.0
11/14/2007,791.42,794.25,779.44,782.47,0.0
11/15/2007,782.11,782.11,765.8,771.6,0.0
11/16/2007,772.2,773.44,759.25,769.5,0.0
11/19/2007,765.22,765.22,747.07,750.35,0.0
11/20/2007,750.77,757.28,736.52,749.33,0.0
11/21/2007,747.22,748.75,736.05,740.3,0.0
11/23/2007,743.48,759.46,743.48,755.03,0.0
11/26/2007,755.53,757.72,734.49,735.07,0.0
11/27/2007,736.37,745.59,734.4,743.27,0.0
11/28/2007,747.51,770.61,747.47,770.04,0.0
11/29/2007,769.48,771.34,762.2,766.06,0.0
11/30/2007,771.29,780.12,764.63,767.77,0.0
12/03/2007,768.2,769.27,759.79,759.97,0.0
12/04/2007,757.15,757.56,749.48,752.06,0.0
12/05/2007,758.16,767.67,758.1,765.64,0.0
12/06/2007,764.92,786.95,764.92,786.95,0.0
12/07/2007,787.13,787.3,781.97,785.52,0.0
12/10/2007,786.84,794.31,785.03,791.2,0.0
12/11/2007,792.49,796.34,765.78,766.27,0.0
12/12/2007,771.52,787.34,763.57,771.71,0.0
12/13/2007,768.11,770.25,759.2,769.46,0.0
12/14/2007,765.6,769.7,753.59,753.93,0.0
12/17/2007,751.28,751.47,739.06,739.06,0.0
12/18/2007,739.36,754.73,735.85,754.06,0.0
12/19/2007,753.37,758.32,749.36,756.13,0.0
12/20/2007,759.26,767.54,750.65,767.54,0.0
12/21/2007,774.4,785.61,774.33,785.6,0.0
12/24/2007,785.88,794.39,785.88,794.39,0.0
12/26/2007,791.97,799.57,788.6,797.03,0.0
12/27/2007,795.57,795.66,773.51,773.51,0.0
12/28/2007,777.29,782.35,771.32,771.76,0.0
12/31/2007,770.46,770.9,760.2,766.03,0.0
01/02/2008,765.9,768.46,749.95,753.55,0.0
01/03/2008,754.95,758.89,744.43,745.01,0.0
01/04/2008,741.3,741.3,720.39,721.6,0.0
01/07/2008,723.62,730.93,714.3,723.95,0.0
01/08/2008,724.52,735.24,704.61,704.86,0.0
01/09/2008,704.5,712.43,689.92,712.12,0.0
01/10/2008,708.29,725.64,702.67,720.21,0.0
01/11/2008,719.49,719.49,703.2,704.65,0.0
01/14/2008,706.53,714.49,706.53,712.48,0.0
01/15/2008,707.39,707.39,694.51,697.43,0.0
01/16/2008,695.58,709.57,690.38,699.91,0.0
01/17/2008,700.92,703.56,680.13,680.57,0.0
01/18/2008,680.42,689.83,666.62,673.18,0.0
01/22/2008,658.85,683.23,650.0,671.57,0.0
01/23/2008,671.2,693.75,654.72,693.43,0.0
01/24/2008,695.28,704.06,686.68,692.72,0.0
01/25/2008,697.33,703.28,684.62,688.6,0.0
01/28/2008,687.74,702.39,680.94,702.39,0.0
01/29/2008,704.25,706.44,695.35,705.2,0.0
01/30/2008,705.1,715.71,695.07,695.49,0.0
01/31/2008,691.01,718.25,686.54,713.3,0.0
02/01/2008,714.92,731.24,713.82,730.5,0.0
02/04/2008,730.69,731.13,720.73,723.46,0.0
02/05/2008,721.8,721.8,701.58,701.58,0.0
02/06/2008,704.5,711.1,691.61,692.49,0.0
02/07/2008,690.96,707.09,688.2,702.78,0.0
02/08/2008,702.37,708.42,693.36,698.9,0.0
02/11/2008,699.15,704.14,690.6,699.75,0.0
02/12/2008,702.0,712.58,700.82,705.48,0.0
02/13/2008,709.13,721.93,709.13,721.93,0.0
02/14/2008,722.75,722.83,703.47,705.32,0.0
02/15/2008,703.71,703.71,694.81,701.52,0.0
02/19/2008,705.74,710.48,699.35,702.34,0.0
02/20/2008,701.66,710.9,695.36,710.02,0.0
02/21/2008,712.41,719.01,695.13,696.28,0.0
02/22/2008,696.83,697.17,683.54,695.43,0.0
02/25/2008,695.84,712.07,693.06,710.46,0.0
02/26/2008,710.33,723.83,707.07,717.32,0.0
02/27/2008,714.6,723.93,710.54,716.44,0.0
02/28/2008,714.95,715.25,702.63,705.72,0.0
02/29/2008,702.02,702.02,683.82,686.18,0.0
03/03/2008,686.05,689.13,675.13,684.22,0.0
03/04/2008,680.89,684.19,670.59,680.98,0.0
03/05/2008,682.85,688.26,677.22,683.74,0.0
03/06/2008,682.12,682.45,662.58,662.78,0.0
03/07/2008,659.3,669.27,654.62,660.11,0.0
03/10/2008,660.72,660.76,643.28,643.97,0.0
03/11/2008,647.74,673.81,647.74,673.81,0.0
03/12/2008,673.87,681.21,666.96,667.31,0.0
03/13/2008,662.73,680.94,654.37,679.74,0.0
03/14/2008,681.77,681.94,655.69,662.9,0.0
03/17/2008,654.9,659.86,645.69,650.48,0.0
03/18/2008,650.97,682.1,650.97,681.93,0.0
03/19/2008,684.03,689.49,664.13,664.13,0.0
03/20/2008,669.59,682.14,665.36,681.42,0.0
03/24/2008,682.72,705.12,682.72,701.28,0.0
03/25/2008,701.6,705.99,696.66,705.27,0.0
03/26/2008,704.49,704.49,696.11,702.11,0.0
03/27/2008,702.54,703.83,692.29,692.39,0.0
03/28/2008,693.38,695.32,682.48,683.18,0.0
03/31/2008,683.51,693.86,681.85,687.97,0.0
04/01/2008,692.02,710.64,692.01,710.64,0.0
04/02/2008,710.54,716.67,706.35,712.27,0.0
04/03/2008,709.95,716.28,706.29,713.57,0.0
04/04/2008,714.68,720.49,709.23,713.73,0.0
04/07/2008,716.5,720.04,710.67,712.68,0.0
04/08/2008,711.11,714.36,707.39,711.92,0.0
04/09/2008,711.99,714.43,697.1,698.38,0.0
04/10/2008,698.5,710.39,696.57,707.42,0.0
04/11/2008,703.75,704.12,686.69,688.16,0.0
04/14/2008,687.36,693.83,684.96,686.07,0.0
04/15/2008,687.58,692.26,684.88,692.06,0.0
04/16/2008,695.55,713.39,695.54,713.39,0.0
04/17/2008,711.87,712.06,704.02,708.0,0.0
04/18/2008,712.93,723.86,712.93,721.07,0.0
04/21/2008,718.95,719.48,714.74,718.0,0.0
04/22/2008,715.98,715.98,697.8,703.71,0.0
04/23/2008,705.46,711.13,701.69,708.11,0.0
04/24/2008,708.29,720.88,698.95,717.07,0.0
04/25/2008,718.03,723.84,710.68,721.88,0.0
04/28/2008,721.18,728.44,718.35,725.37,0.0
04/29/2008,724.96,724.96,715.33,718.93,0.0
04/30/2008,719.8,726.77,713.64,716.18,0.0
05/01/2008,715.54,729.75,714.74,729.75,0.0
05/02/2008,729.82,735.79,724.78,725.74,0.0
05/05/2008,727.99,727.99,721.27,724.35,0.0
05/06/2008,722.79,731.62,719.13,729.79,0.0
05/07/2008,730.12,733.49,715.36,716.21,0.0
05/08/2008,718.06,720.86,714.05,719.55,0.0
05/09/2008,716.66,721.63,714.01,720.05,0.0
05/12/2008,721.46,733.64,720.15,733.23,0.0
05/13/2008,733.22,737.44,729.36,736.85,0.0
05/14/2008,737.26,744.34,735.35,736.07,0.0
05/15/2008,736.33,743.79,733.38,743.38,0.0
05/16/2008,745.75,745.75,732.87,741.17,0.0
05/19/2008,741.02,747.99,736.35,738.45,0.0
05/20/2008,736.81,737.12,730.44,735.64,0.0
05/21/2008,736.62,742.57,724.33,727.11,0.0
05/22/2008,728.31,736.11,728.24,733.01,0.0
05/23/2008,731.03,731.03,719.37,724.1,0.0
05/27/2008,724.94,734.49,724.89,734.39,0.0
05/28/2008,735.69,738.46,730.83,738.46,0.0
05/29/2008,737.68,750.69,737.03,745.55,0.0
05/30/2008,745.78,749.25,742.93,748.28,0.0
06/02/2008,747.48,748.0,733.67,741.02,0.0
06/03/2008,741.99,746.61,732.12,739.0,0.0
06/04/2008,737.23,749.78,735.27,743.71,0.0
06/05/2008,743.93,763.27,743.93,763.27,0.0
06/06/2008,759.93,759.93,740.37,740.37,0.0
06/09/2008,740.89,743.44,729.37,735.25,0.0
06/10/2008,732.31,736.49,728.68,732.62,0.0
06/11/2008,731.7,732.03,717.88,717.88,0.0
06/12/2008,718.15,730.39,717.44,719.84,0.0
06/13/2008,723.01,733.61,723.01,733.61,0.0
06/16/2008,733.16,740.94,730.86,740.74,0.0
06/17/2008,741.18,742.81,736.31,736.57,0.0
06/18/2008,735.66,735.66,726.06,730.71,0.0
06/19/2008,730.41,737.84,727.96,737.83,0.0
06/20/2008,735.92,735.92,719.49,725.73,0.0
06/23/2008,727.35,728.71,719.34,719.81,0.0
06/24/2008,718.25,718.42,707.2,707.92,0.0
06/25/2008,708.21,720.25,708.21,716.3,0.0
06/26/2008,711.88,711.88,696.47,698.42,0.0
06/27/2008,697.87,701.13,692.14,698.14,0.0
06/30/2008,697.85,701.26,689.66,689.66,0.0
07/01/2008,686.77,691.59,676.47,691.59,0.0
07/02/2008,691.49,694.16,672.03,672.34,0.0
07/03/2008,672.76,673.59,660.93,665.78,0.0
07/07/2008,665.72,671.93,651.92,658.26,0.0
07/08/2008,659.1,682.72,655.11,682.72,0.0
07/09/2008,682.98,684.29,663.52,663.75,0.0
07/10/2008,663.18,675.67,661.97,670.44,0.0
07/11/2008,666.86,678.55,659.43,674.95,0.0
07/14/2008,677.23,680.62,661.53,666.31,0.0
07/15/2008,661.76,673.76,647.37,673.76,0.0
07/16/2008,663.52,686.75,660.5,686.75,0.0
07/17/2008,687.76,696.83,683.48,696.63,0.0
07/18/2008,696.95,697.27,688.25,693.08,0.0
07/21/2008,694.71,698.83,692.32,697.63,0.0
07/22/2008,695.49,716.82,691.66,716.82,0.0
07/23/2008,716.54,726.27,714.71,719.19,0.0
07/24/2008,720.46,720.64,700.85,702.39,0.0
07/25/2008,704.73,715.47,704.1,710.34,0.0
07/28/2008,710.33,710.33,694.17,696.11,0.0
07/29/2008,696.99,715.35,696.99,714.55,0.0
