2008-10-08 17:41:52,762 INFO program starts at: 17:41:52 10/08/08 Eastern Daylight Time
2008-10-08 17:41:52,762 INFO total symbols to be processed is: [510]
2008-10-08 17:48:14,874 INFO Analysis for 20081008
2008-10-08 17:48:14,874 INFO total symbols to be processed is: [510]
2008-10-08 17:48:16,124 ERROR abnormalVol wrong with DPS
2008-10-08 17:48:16,124 ERROR <type 'exceptions.ValueError'>
2008-10-08 17:48:16,124 ERROR need more than 2 values to unpack
2008-10-08 17:48:16,138 ERROR abnormalVol wrong with ^RUT
2008-10-08 17:48:16,138 ERROR <type 'exceptions.ZeroDivisionError'>
2008-10-08 17:48:16,138 ERROR float division
2008-10-08 17:48:16,138 INFO Abnormal Volume List [73]:
2008-10-08 17:48:16,138 INFO DYN: price change 13.36%--volume change 1.72 : ('Energy', 'Oil & Gas Operations')
2008-10-08 17:48:16,138 INFO MON: price change 9.79%--volume change 2.15 : ('Basic Materials', 'Chemical Manufacturing')
2008-10-08 17:48:16,138 INFO AYE: price change 8.63%--volume change 2.55 : ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,138 INFO CAM: price change 8.11%--volume change 2.07 : ('Energy', 'Oil Well Services & Equipment')
2008-10-08 17:48:16,138 INFO ATI: price change 7.05%--volume change 1.89 : ('Basic Materials', 'Misc. Fabricated Products')
2008-10-08 17:48:16,138 INFO CTXS: price change 5.32%--volume change 1.63 : ('Technology', 'Software & Programming')
2008-10-08 17:48:16,138 INFO IGT: price change 5.12%--volume change 1.73 : ('Services', 'Casinos & Gaming')
2008-10-08 17:48:16,138 INFO PLL: price change 4.84%--volume change 1.53 : ('Technology', 'Scientific & Technical Instr.')
2008-10-08 17:48:16,138 INFO HAS: price change 4.23%--volume change 1.76 : ('Cons. Cyclical', 'Recreational Products')
2008-10-08 17:48:16,138 INFO X: price change 4.08%--volume change 2.22 : ('Basic Materials', 'Iron & Steel')
2008-10-08 17:48:16,138 INFO JEC: price change 4.03%--volume change 1.78 : ('Capital Goods', 'Construction Services')
2008-10-08 17:48:16,138 INFO NOV: price change 3.94%--volume change 1.91 : ('Energy', 'Oil Well Services & Equipment')
2008-10-08 17:48:16,138 INFO MA: price change 3.05%--volume change 1.57 : ('Services', 'Business Services')
2008-10-08 17:48:16,138 INFO RIG: price change 1.62%--volume change 2.12 : ('Energy', 'Oil Well Services & Equipment')
2008-10-08 17:48:16,138 INFO LLL: price change 1.59%--volume change 1.87 : ('Technology', 'Communications Equipment')
2008-10-08 17:48:16,138 INFO BTU: price change 1.33%--volume change 1.92 : ('Energy', 'Coal')
2008-10-08 17:48:16,138 INFO YUM: price change 1.09%--volume change 2.27 : ('Services', 'Restaurants')
2008-10-08 17:48:16,138 INFO KMB: price change 0.95%--volume change 1.81 : ('Basic Materials', 'Paper & Paper Products')
2008-10-08 17:48:16,138 INFO HPQ: price change 0.81%--volume change 1.50 : ('Technology', 'Computer Peripherals')
2008-10-08 17:48:16,138 INFO IR: price change 0.71%--volume change 1.60 : ('Capital Goods', 'Misc. Capital Goods')
2008-10-08 17:48:16,138 INFO BMY: price change 0.53%--volume change 1.80 : ('Healthcare', 'Major Drugs')
2008-10-08 17:48:16,138 INFO PDCO: price change 0.48%--volume change 1.59 : ('Healthcare', 'Medical Equipment & Supplies')
2008-10-08 17:48:16,138 INFO JNJ: price change -0.21%--volume change 1.69 : ('Healthcare', 'Major Drugs')
2008-10-08 17:48:16,138 INFO PG: price change -0.23%--volume change 1.78 : ('Cons. Non-Cyclical', 'Personal & Household Prods.')
2008-10-08 17:48:16,138 INFO CLX: price change -0.64%--volume change 1.87 : ('Cons. Non-Cyclical', 'Personal & Household Prods.')
2008-10-08 17:48:16,138 INFO SO: price change -0.76%--volume change 2.10 : ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,138 INFO MWV: price change -0.78%--volume change 1.52 : ('Basic Materials', 'Containers & Packaging')
2008-10-08 17:48:16,138 INFO NWL: price change -1.34%--volume change 1.85 : ('Cons. Non-Cyclical', 'Personal & Household Prods.')
2008-10-08 17:48:16,138 INFO CTSH: price change -1.36%--volume change 2.25 : ('Technology', 'Software & Programming')
2008-10-08 17:48:16,138 INFO TYC: price change -1.38%--volume change 1.68 : ('Conglomerates', 'Conglomerates')
2008-10-08 17:48:16,138 INFO BLL: price change -1.64%--volume change 1.94 : ('Basic Materials', 'Containers & Packaging')
2008-10-08 17:48:16,138 INFO GME: price change -1.76%--volume change 1.52 : ('Services', 'Retail (Technology)')
2008-10-08 17:48:16,138 INFO LH: price change -1.78%--volume change 1.62 : ('Healthcare', 'Healthcare Facilities')
2008-10-08 17:48:16,138 INFO LOW: price change -2.10%--volume change 1.52 : ('Services', 'Retail (Home Improvement)')
2008-10-08 17:48:16,138 INFO UPS: price change -2.18%--volume change 1.59 : ('Transportation', 'Air Courier')
2008-10-08 17:48:16,138 INFO GIS: price change -2.60%--volume change 1.99 : ('Cons. Non-Cyclical', 'Food Processing')
2008-10-08 17:48:16,138 INFO KSS: price change -2.65%--volume change 1.80 : ('Services', 'Retail (Department & Discount)')
2008-10-08 17:48:16,138 INFO CPWR: price change -2.80%--volume change 1.73 : ('Technology', 'Software & Programming')
2008-10-08 17:48:16,138 INFO RX: price change -2.96%--volume change 1.89 : ('Technology', 'Computer Services')
2008-10-08 17:48:16,138 INFO TIF: price change -3.04%--volume change 2.02 : ('Services', 'Retail (Specialty)')
2008-10-08 17:48:16,138 INFO BJS: price change -3.77%--volume change 1.85 : ('Energy', 'Oil Well Services & Equipment')
2008-10-08 17:48:16,138 INFO T: price change -3.92%--volume change 1.68 : ('Services', 'Communications Services')
2008-10-08 17:48:16,138 INFO NKE: price change -3.93%--volume change 1.54 : ('Cons. Cyclical', 'Footwear')
2008-10-08 17:48:16,138 INFO ETR: price change -4.07%--volume change 1.73 : ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,138 INFO MRO: price change -4.12%--volume change 1.63 : ('Energy', 'Oil & Gas - Integrated')
2008-10-08 17:48:16,138 INFO EXC: price change -4.17%--volume change 1.66 : ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,138 INFO BBY: price change -4.22%--volume change 1.62 : ('Services', 'Retail (Technology)')
2008-10-08 17:48:16,138 INFO FDX: price change -4.94%--volume change 1.92 : ('Transportation', 'Air Courier')
2008-10-08 17:48:16,138 INFO CCE: price change -5.08%--volume change 1.94 : ('Cons. Non-Cyclical', 'Beverages (Non-Alcoholic)')
2008-10-08 17:48:16,138 INFO XLNX: price change -5.11%--volume change 1.97 : ('Technology', 'Semiconductors')
2008-10-08 17:48:16,138 INFO HNZ: price change -5.23%--volume change 1.73 : ('Cons. Non-Cyclical', 'Food Processing')
2008-10-08 17:48:16,138 INFO JCP: price change -5.25%--volume change 1.74 : ('Services', 'Retail (Department & Discount)')
2008-10-08 17:48:16,138 INFO HSP: price change -5.27%--volume change 1.92 : ('Healthcare', 'Biotechnology & Drugs')
2008-10-08 17:48:16,138 INFO IBM: price change -5.33%--volume change 1.62 : ('Services', 'Business Services')
2008-10-08 17:48:16,138 INFO AKS: price change -5.41%--volume change 2.09 : ('Basic Materials', 'Iron & Steel')
2008-10-08 17:48:16,138 INFO SYY: price change -5.63%--volume change 1.87 : ('Services', 'Retail (Grocery)')
2008-10-08 17:48:16,138 INFO MDP: price change -5.64%--volume change 1.69 : ('Services', 'Printing & Publishing')
2008-10-08 17:48:16,138 INFO KG: price change -5.85%--volume change 1.62 : ('Healthcare', 'Biotechnology & Drugs')
2008-10-08 17:48:16,138 INFO SWN: price change -6.01%--volume change 1.82 : ('Energy', 'Oil & Gas Operations')
2008-10-08 17:48:16,138 INFO TRV: price change -6.92%--volume change 1.53 : ('Financial', 'Insurance (Prop. & Casualty)')
2008-10-08 17:48:16,138 INFO EFX: price change -7.01%--volume change 2.32 : ('Services', 'Business Services')
2008-10-08 17:48:16,154 INFO BAC: price change -7.03%--volume change 2.66 : ('Financial', 'Money Center Banks')
2008-10-08 17:48:16,154 INFO JDSU: price change -7.04%--volume change 1.87 : ('Technology', 'Communications Equipment')
2008-10-08 17:48:16,154 INFO EMN: price change -7.63%--volume change 2.14 : ('Basic Materials', 'Chemicals - Plastics & Rubber')
2008-10-08 17:48:16,154 INFO CI: price change -8.60%--volume change 1.72 : ('Financial', 'Insurance (Accident & Health)')
2008-10-08 17:48:16,154 INFO F: price change -8.90%--volume change 1.88 : ('Cons. Cyclical', 'Auto & Truck Manufacturers')
2008-10-08 17:48:16,154 INFO MYL: price change -9.27%--volume change 2.45 : ('Healthcare', 'Biotechnology & Drugs')
2008-10-08 17:48:16,154 INFO BSX: price change -10.14%--volume change 2.17 : ('Healthcare', 'Medical Equipment & Supplies')
2008-10-08 17:48:16,154 INFO AA: price change -11.97%--volume change 2.57 : ('Basic Materials', 'Metal Mining')
2008-10-08 17:48:16,154 INFO PFG: price change -19.81%--volume change 1.68 : ('Financial', 'Insurance (Life)')
2008-10-08 17:48:16,154 INFO ALL: price change -21.18%--volume change 2.13 : ('Financial', 'Insurance (Prop. & Casualty)')
2008-10-08 17:48:16,154 INFO XL: price change -27.67%--volume change 3.00 : ('Financial', 'Insurance (Prop. & Casualty)')
